Index,quest,말,choice,NextDialog,"reward(gold,exp,item)"
0,,,,,
1,,우왓!!!! 깜짝이야! 너 누구야!,모험가야#4,,
2,,우왓!!!! 깜짝이야! 왜또 건들여!!,,4,
3,,후…여긴 정말 위험한 곳이야..,,-1,
4,,왜 사람을 놀래키고 난리야!,뭐에 도망온거야?#6/실수로 건들였어 가볼게#5,,
5,,앞으로는 조심하라고!,,-1,
6,,후..저기 앞을 지나가야되는데..,,7,
7,,"""슬라임""이라는 몬스터가 날 공격해서 말이야..",슬라임은 공격하지 않잖아#10,,
8,,그..그래 그정도는 우습지..,,9,
9,,근데 지금내가 팔…아니 머리가 아파서….,,11,
10,,그러니까 말이야! 갑자기 가는데 뒤에서 덮쳤다니까?그래서 말인데..,,11,
11,,슬라임 몇마리만 잡아주지않을래?,그정도는 식은죽 먹기지#12/니가 하면되잖아#9,,
12,4,오!! 고마워!!,,13,
13,,날 공격한 슬라임은 붉은색이었어,,14,
14,,그럼 안전해지면 먼저 캠프에 가있을게!,,-1,
15,,우왓!! 깜짝아 너구나!,,18,
16,,우왓!! 깜짝아 너구나!,,17,
17,,덕분에 안전하게 올 수 있었어 고마워! 약소하지만 받아줘!,,3,1000/1000/10#1
18,,슬라임은 아직이야??,,-1,
19,,우왓!! 깜짝아 너구나!,,20,
20,,여긴 정말 위험한 곳이야,,-1,
