MonsterType,Index,AddressableName,x,y,z,x(rotate),x(rotate),z(rotate),x(scale),y(scale),z(scale),WayPoint
Mimic,3,Mimic,195,0,67,0,90,0,1,1,1,
Mimic,3,Mimic,223,0,67,0,270,0,1,1,1,
Mimic,3,Mimic,195,0,82,0,130,0,1,1,1,
Nomal,4,SlimeR_R,170,0,190,0,-180,0,2,2,2,
Nomal,4,SlimeR_R,112,0,197,0,90,0,2,2,2,
Nomal,5,SlimeR_G,170,0,164,0,90,0,2,2,2,
Nomal,6,SlimeR_B,150,0,192,0,0,0,2,2,2,
Hostile,7,Slime_R,97,0,110,0,90,0,2,2,2,
Hostile,7,Slime_R,105,0,145,0,0,0,2,2,2,
Hostile,7,Slime_R,105,0,190,0,90,0,2,2,2,
Nomal,8,Slime_G,66,0,120,0,-180,0,2,2,2,
Nomal,8,Slime_G,74,0,145,0,0,0,2,2,2,
Nomal,9,Slime_B,82,0,160,0,0,0,2,2,2,
Nomal,9,Slime_B,84,0,180,0,0,0,2,2,2,
Nomal,10,Turtle_R,192,0,132,0,90,0,1,1,1,
Nomal,10,Turtle_R,240,0,130,0,0,0,1,1,1,
Nomal,10,Turtle_R,220,0,225,0,0,0,1,1,1,
Nomal,11,Turtle_G,196,0,142,0,120,0,1,1,1,
Nomal,11,Turtle_G,226,0,130,0,0,0,1,1,1,
Nomal,12,Turtle_B,228,0,145,0,90,0,1,1,1,
Nomal,12,Turtle_B,200,0,107,0,0,0,1,1,1,
