Index,MonsterType,Name,닉y위치,소리파일,Lev,Hp,Atk,Range,드랍 아이템(인덱스/수량/확률),드랍골드,드랍경험치
1,Tutorial,훈련용 허수아비,2.5,DurmmyDamage,0,-1,0,0,,,
2,Tutorial,훈련용 과녁,3.2,DurmmyDamage,0,-1,0,0,,,
3,Mimic,미믹,1.8,MimicDamage,5,100,10,1.3,12#3#50/13#3#50/7#5#10,125,50
4,Offensive,빨강 슬라임 레빗,1.8,SlimeDamage,5,100,10,1,14#2#80/8#1#20/9#1#20,100,50
5,Nomal,초록 슬라임 레빗,1.8,SlimeDamage,7,150,10,1,14#2#80/8#2#20/9#1#21,120,60
6,Nomal,파랑 슬라임 레빗,1.8,SlimeDamage,9,200,10,1,14#2#80/8#2#20/9#1#22,200,70
7,Offensive,빨강 슬라임,2.5,SlimeDamage,5,100,15,1.3,14#2#80/8#1#20/9#1#23,200,70
8,Nomal,초록 슬라임,2.5,SlimeDamage,5,100,15,1.3,14#2#80/8#1#20/9#1#24,200,70
9,Nomal,파랑 슬라임,2.5,SlimeDamage,5,100,15,1.3,14#2#80/8#1#20/9#1#25,200,70
10,Nomal,빨강 등겁질 거북,1.5,TurtleDamage,10,500,10,1,15#3#50/13#3#50/7#5#17,500,100
11,Nomal,초록 등겁질 거북,1.5,TurtleDamage,10,500,10,1,15#3#50/13#3#50/7#5#18,500,100
12,Nomal,파랑 등겁질 거북,1.5,TurtleDamage,10,500,10,1,15#3#50/13#3#50/7#5#19,500,100
13,Boss,블루 드래곤,0,SlimeDamage,20,1000,20,1.5,7#2#50/8#3#30,500,100
14,Nomal,"""""",0,SlimeDamage,20,1000,20,1,7#2#50/8#3#31,500,100
